inventory_id,part_num,color_id,quantity,is_spare
33,3680,15,1,f
33,3710,4,2,f
33,3710,15,3,f
33,4161,15,2,f
33,4162,4,2,f
33,4282,4,1,f
33,4282,15,1,f
33,4477,4,1,f
33,4477,15,2,f
33,4488,4,4,f
33,4624,7,6,f
33,4625,15,2,f
33,4714,15,1,f
33,4715,15,2,f
33,4854,15,3,f
33,4855,15,1,f
33,4857,15,2,f
33,4858,15,1,f
33,4859,4,1,f
33,4859,15,1,f
33,4861,15,2,f
33,4862,41,4,f
33,4863,15,2,f
33,4864a,15,6,f
33,4864apr0008,15,2,f
33,4865a,41,2,f
33,4865a,15,2,f
33,4870,7,3,f
33,6141,34,1,f
33,6141,36,2,f
33,6141,34,1,t
33,73983,4,2,f
34,59233pat0001,41,2,f
34,88646,0,1,f
36,3003pr0053,14,1,f
36,3004,1,1,f
36,3021,4,2,f
36,3039,14,1,f
36,3040b,1,2,f
36,3660,14,1,f
37,2780,0,1,t
37,2780,0,2,f
37,2825,4,1,f
37,32002,72,1,t
37,32002,72,1,f
37,32013,71,1,f
37,32062,4,1,f
37,32174,0,5,f
37,32199,72,1,f
37,32476,0,1,f
37,32524,0,1,f
37,43093,1,6,f
37,44807,320,1,f
37,47300,72,4,f
37,50858,320,2,f
37,50858,0,2,f
37,50898,0,2,f
37,54271,148,1,f
37,54821,182,2,f
37,56160,135,1,f
37,59426,72,1,f
37,59577pat0001,320,1,f
37,6587,72,1,f
37,6632,0,1,f
38,12825,14,9,f
38,14226c11,0,1,f
38,2357,14,8,f
38,2456,15,2,f
38,2456,19,1,f
38,2456,2,1,f
38,2542,70,2,f
38,3001,4,2,f
38,3001,2,16,f
38,3001,15,9,f
38,3001,70,3,f
38,3001,27,8,f
38,3001,19,1,f
38,3002,4,2,f
38,3002,15,6,f
38,3002,19,5,f
38,3002,2,2,f
38,3002,70,1,f
38,3003,27,8,f
38,3003,14,7,f
38,3003,28,2,f
38,3003,1,1,f
38,3003,70,14,f
38,3003,19,8,f
38,3003,2,14,f
38,3003,4,2,f
38,3004,73,4,f
38,3004,19,4,f
38,3004,2,40,f
38,3004,4,9,f
38,3004,72,3,f
38,3004,29,1,f
38,3004,27,10,f
38,3004,25,8,f
38,3004,70,44,f
38,3004,15,50,f
38,3004,26,127,f
38,3004,0,4,f
38,30044,15,2,f
38,30046,297,2,f
38,3004pr0001,14,6,f
38,3004pr0002,14,6,f
38,3005,114,20,f
38,3005,25,4,f
38,3005,29,114,f
38,3005,182,28,f
38,3005,27,10,f
38,3005,70,5,f
38,3005,4,6,f
38,3005pr0003,14,2,f
38,3005pr0003,15,2,f
38,3006,15,4,f
38,3007,14,1,f
38,3009,4,3,f
38,3009,25,2,f
38,3009,19,3,f
38,3010,15,2,f
38,3010,4,10,f
38,3010,25,2,f
38,30115,4,2,f
38,30115,2,2,f
38,30136,70,4,f
38,30137,70,4,f
38,30150,70,2,f
38,30153,36,2,f
38,30153,47,2,f
38,30153,41,2,f
38,30153,34,2,f
38,30153,45,2,f
38,30176,2,5,f
38,3020,4,2,f
38,3020,15,1,f
38,3021,72,1,f
38,3021,4,2,f
38,3021,25,2,f
38,3022,4,6,f
38,3022,0,2,f
38,3022,70,3,f
38,3022,15,1,f
38,3023,4,3,f
38,3023,15,10,f
38,3023,72,6,f
38,3023,14,5,f
38,3023,1,6,f
38,3023,33,7,f
38,3023,0,4,f
38,30238,0,3,f
38,3024,4,2,f
38,3029,1,7,f
38,3030,72,2,f
38,3031,14,1,f
38,3031,19,3,f
38,3031,70,1,f
38,3031,15,4,f
38,3032,70,1,f
38,3032,4,4,f
38,3033,72,1,f
38,3034,4,2,f
38,3034,19,2,f
38,3035,1,2,f
38,3035,70,3,f
38,3036,70,2,f
38,30367b,4,3,f
38,30374,19,3,f
38,30385,42,1,f
38,30385,82,1,f
38,30385,36,1,f
38,3039,4,4,f
38,3039,72,1,f
38,3039,25,6,f
38,3039,14,3,f
38,3039,1,3,f
38,3039,26,2,f
38,3039,2,3,f
38,3039,70,19,f
38,3039,15,18,f
38,3040b,4,8,f
38,3040b,70,4,f
38,3040b,2,2,f
38,3040b,29,2,f
38,30414,4,1,f
38,3045,14,4,f
38,3048c,297,10,f
38,3062b,70,2,f
38,3062b,15,5,f
38,3062b,0,5,f
38,3068b,14,1,f
38,3068b,2,1,f
38,3068b,4,15,f
38,3068b,15,1,f
38,3068b,70,1,f
38,3069b,70,4,f
38,3070b,15,10,f
38,3298,4,3,f
38,3298,14,4,f
38,33006,4,1,f
38,33048,484,1,f
38,33057,484,2,f
38,3308,15,2,f
38,33183,10,3,f
38,3460,70,3,f
38,3622,70,2,f
38,3622,4,4,f
38,3623,19,2,f
38,3626b,14,4,f
38,3659,15,2,f
38,3660,15,5,f
38,3660,4,3,f
38,3666,4,3,f
38,3676,14,4,f
